Cluster,1,2,4,5,6,8,10,12,14,16,31,59,73,77,99,111,169,188,201,252,148B,28A,3C1,3C2,64B,7B1,7C1-24,8B,99-3-3,
-1,453,236,45,15,80,22,27,59,8,19,40,20,12,9,81,20,44,10,12,10,9,20,11,13,15,6,6,13,15,6585
0,1,0,0,66,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,45,0,33,28,0,0,1015
1,0,0,0,69,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,37,0,32,31,0,0,1097
2,7,66,76,0,0,0,0,1,11,13,0,20,13,30,1,12,2,18,19,17,41,0,0,0,2,0,0,0,1,3529
3,6,49,33,0,1,0,0,0,10,9,0,21,7,24,2,10,1,9,12,3,20,0,0,0,2,0,0,0,2,2319
4,8,80,57,1,1,0,0,0,19,22,1,20,18,36,0,8,5,18,11,19,48,1,0,0,0,0,0,0,0,3734
5,3,29,18,0,0,0,0,0,6,7,0,9,4,13,1,3,4,4,5,7,17,0,0,0,1,0,0,0,1,1509
6,0,8,12,0,0,0,0,0,4,3,0,4,0,4,0,2,1,1,3,3,5,0,0,0,0,1,0,0,1,518
7,29,81,6,0,1,3,1,0,4,2,0,0,4,7,12,0,1,9,6,2,5,1,0,0,0,0,0,2,1,1701
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,371
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,31,408
10,1,147,0,0,0,0,0,0,0,0,37,0,1,0,0,0,1,0,0,0,0,0,0,0,49,0,0,0,0,1152
11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,421
12,33,54,3,0,0,0,2,3,2,2,0,1,1,1,7,4,0,0,0,2,1,1,1,0,3,1,0,0,1,543
13,105,6,0,0,0,0,0,8,0,0,0,3,0,0,13,0,0,0,0,0,0,37,0,0,0,0,1,0,0,145
14,0,0,0,0,0,123,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,348
15,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,365
16,0,4,10,0,0,0,0,0,4,3,0,0,1,4,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,400
