Cluster,1,2,4,5,6,8,10,12,14,16,31,59,73,77,99,111,169,188,201,252,148B,28A,3C1,3C2,64B,7B1,7C1-24,8B,99-3-3,
-1,406,120,20,29,143,19,29,45,4,5,36,15,9,3,71,19,37,6,7,4,2,14,11,14,10,7,9,9,11,5262
0,2,27,20,0,1,0,0,0,7,8,1,8,9,14,0,2,2,8,4,6,12,0,0,0,0,0,0,0,0,1619
1,7,63,75,0,0,0,0,1,10,14,0,20,13,30,1,12,2,18,19,17,40,0,0,0,2,0,0,0,1,3444
2,7,61,45,1,0,0,0,0,14,17,0,15,10,26,0,6,4,10,9,14,37,1,0,0,0,0,0,0,0,2552
3,0,0,0,63,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,36,0,32,30,0,0,982
4,1,0,0,58,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,43,0,31,26,0,0,916
5,1,8,14,0,0,0,0,0,5,5,0,4,1,5,0,2,2,2,3,4,11,0,0,0,0,1,0,0,1,674
6,4,31,17,0,0,0,0,0,6,7,0,9,4,13,1,3,4,4,5,7,17,0,0,0,1,0,0,0,1,1525
7,6,51,35,0,1,0,0,0,10,10,0,22,7,25,2,10,1,10,14,4,20,0,0,0,2,0,0,0,2,2424
8,33,81,6,0,1,3,0,0,4,2,0,0,4,7,12,0,1,9,6,2,5,1,0,0,0,0,0,2,1,1533
9,0,10,12,0,5,0,0,0,6,4,0,2,3,5,0,3,4,2,3,4,7,0,0,0,0,0,0,1,1,1017
10,9,248,0,0,0,0,0,0,0,0,40,0,1,0,5,0,3,0,0,0,0,0,1,0,52,0,0,0,0,1400
11,0,0,0,0,0,125,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,360
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,355
13,123,0,0,0,0,1,0,11,0,0,0,4,0,0,16,0,0,0,0,0,0,42,0,0,0,0,1,1,0,184
14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,33,576
15,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,453
16,14,0,0,0,0,0,0,11,0,0,1,0,0,0,2,0,2,0,0,0,0,1,1,0,1,1,0,0,0,262
17,33,61,13,0,0,0,1,3,2,7,0,1,1,1,7,4,0,0,0,3,1,1,1,2,2,1,0,0,2,622
