Cluster,1,2,4,5,6,8,10,12,14,16,31,59,73,77,99,111,169,188,201,252,148B,28A,3C1,3C2,64B,7B1,7C1-24,8B,99-3-3,
-1,432,199,35,25,88,19,29,48,3,13,36,16,9,5,79,19,39,6,7,8,5,19,11,17,16,8,9,10,15,5839
0,0,0,0,69,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31,37,0,32,31,0,0,1094
1,1,0,0,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,28,0,22,17,0,0,647
2,0,0,0,19,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,0,8,8,0,0,229
3,7,66,76,0,0,0,0,1,11,13,0,20,13,30,1,12,2,18,19,17,41,0,0,0,2,0,0,0,1,3529
4,8,75,56,1,1,0,0,0,18,18,1,21,16,34,0,8,6,18,10,19,44,1,0,0,0,0,0,0,0,3551
5,6,51,35,0,1,0,0,0,10,10,0,22,7,25,2,10,1,10,14,4,20,0,0,0,2,0,0,0,2,2424
6,1,10,6,0,0,0,0,0,2,4,0,2,2,4,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,416
7,1,8,12,0,0,0,0,0,5,4,0,4,1,5,0,2,1,2,3,3,8,0,0,0,0,1,0,0,1,611
8,3,29,17,0,0,0,0,0,6,7,0,9,4,13,1,3,4,4,5,7,17,0,0,0,1,0,0,0,1,1482
9,34,82,5,0,1,3,1,0,4,1,0,0,6,7,12,0,3,9,6,2,5,1,0,0,0,0,0,2,1,1780
10,0,172,0,0,0,0,0,0,0,0,38,0,0,0,0,0,2,0,0,0,0,0,0,0,49,0,0,0,0,993
11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,31,418
12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423
13,0,9,12,0,0,0,0,0,6,4,0,2,3,5,0,3,4,2,3,4,7,0,0,0,0,0,0,1,1,989
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,363
15,1,0,0,0,0,126,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,369
16,33,0,0,0,0,0,0,3,2,0,0,1,1,1,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,364
17,0,59,5,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,2,0,1,0,1,2,1,0,0,0,228
18,105,0,0,0,0,0,0,8,0,0,0,3,0,0,13,0,0,0,0,0,0,37,0,0,0,0,1,0,0,141
19,14,0,1,0,0,0,0,11,1,0,3,0,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,270
