Cluster,1,2,4,5,6,8,10,12,14,16,31,59,73,77,99,111,169,188,201,252,148B,28A,3C1,3C2,64B,7B1,7C1-24,8B,99-3-3,
-1,371,237,30,27,141,22,28,13,6,15,34,17,12,18,74,8,42,8,9,9,10,19,12,17,13,6,9,12,14,6273
0,2,39,40,0,0,0,0,0,5,8,0,10,6,15,0,6,1,11,11,9,18,0,0,0,2,0,0,0,0,1915
1,2,6,7,0,0,0,0,0,0,0,0,1,0,3,0,2,0,0,1,1,4,0,0,0,0,0,0,0,0,324
2,3,18,28,0,0,0,0,1,5,5,0,9,7,12,1,4,1,7,7,7,18,0,0,0,0,0,0,0,1,1197
3,6,51,35,0,1,0,0,0,10,10,0,22,7,25,2,10,1,10,14,4,20,0,0,0,2,0,0,0,2,2424
4,0,0,0,62,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,36,0,32,30,0,0,981
5,1,0,0,61,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,42,0,32,26,0,0,940
6,1,8,6,0,0,0,0,0,2,2,0,2,2,1,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,311
7,4,31,19,0,0,0,0,0,6,8,0,9,4,13,1,3,5,4,5,8,20,0,0,0,1,0,0,0,1,1594
8,0,11,15,0,0,0,0,0,4,3,0,5,0,4,0,2,2,2,3,4,5,0,0,0,0,1,0,0,1,622
9,2,23,17,0,1,0,0,0,6,6,1,7,9,12,0,2,1,8,4,6,14,0,0,0,0,0,0,0,0,1400
10,4,17,13,0,0,0,0,0,5,5,0,8,4,8,0,1,1,6,3,5,11,1,0,0,0,0,0,0,0,798
11,0,28,19,1,0,0,0,0,6,7,0,5,3,4,0,2,2,4,1,4,17,0,0,0,0,0,0,0,0,919
12,2,57,5,0,0,1,1,0,4,1,0,0,2,7,0,0,1,8,6,1,3,0,0,0,0,0,0,1,0,801
13,26,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,269
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,225
15,13,0,0,0,0,0,0,34,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,179
16,56,2,0,0,2,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,187
17,1,5,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,257
18,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,33,599
19,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,443
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,362
21,0,4,10,0,0,0,0,0,5,3,0,0,2,4,0,0,0,0,2,3,3,0,0,0,0,0,0,0,1,438
22,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,0,0,0,3,0,0,0,0,0,0,0,0,343
23,0,155,0,0,0,0,0,0,0,0,38,0,0,0,0,0,1,0,0,0,0,0,0,0,48,0,0,0,0,993
24,0,55,13,0,0,0,1,0,0,7,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,209
25,33,0,0,0,0,0,0,3,2,0,0,1,1,1,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,310
26,14,0,0,0,0,1,0,12,1,0,5,0,0,0,2,0,1,0,0,0,0,1,1,0,2,1,0,1,0,354
27,105,4,0,0,0,0,0,8,0,0,0,3,0,0,13,0,0,0,0,0,0,37,0,0,0,0,1,0,0,134
28,0,0,0,0,0,124,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,359
