IDs,tsne dim 1,tsne dim 2,Cluster
PL-01-0127-H1,10.3735695,28.814138,-1
CZ-01-0621-H1,6.45445,35.567455,1
DE-02-0917-H1,11.010439,30.363417,2
SE-01-0123-H1,-0.066334195,11.412097,23
CZ-01-1862-H1,-5.6665177,8.095444,23
DE-03-1552-H1,8.855186,15.759049,-1
IT-02-0176-H1,-16.428598,-3.4544168,0
DE-02-5173-H1,-5.7189884,12.893325,-1
DE-03-0379-H1,-7.167681,17.622026,-1
SR-01-0089-H1,-5.6665177,8.095444,23
DE-03-0917-H1,-16.200678,-3.3706028,0
SE-01-0109-H1,10.23966,29.990011,2
IT-02-0072-H1,-5.6665177,8.095444,23
UK-03-0404-H1,12.584952,5.468759,13
DE-02-4003-H1,-16.429739,-3.4549966,0
DE-03-2439-H1,-4.589905,24.733906,-1
DE-03-2500-H1,-0.37641555,13.243025,23
DK-01-0643-H1,-16.428497,-3.4543617,0
IT-02-0230-H1,-16.428465,-3.454382,0
IT-02-0334-H1,4.7578974,35.330227,-1
DE-03-3325-H1,8.442387,13.143156,18
IT-01-0293-H1,-16.428598,-3.4544168,0
CZ-01-0686-H1,-16.19968,-3.3704147,0
IT-07-0318-H1,-16.204346,-3.3715422,0
CZ-01-0680-H1,-9.408269,-1.5462205,16
US-01-0436-H1,10.137715,33.68951,2
DE-02-3952-H1,-4.882451,17.805792,26
NL-01-0044-H1,7.8257194,16.48165,-1
UK-01-0430-H1,8.442391,13.143152,18
GR-03-0098-H1,8.874728,17.504702,21
IT-02-0612-H1,-16.243238,-3.3817303,0
IT-05-0391-H1,-16.2184,-3.375036,0
DE-03-1974-H1,1.1159036,3.4547026,20
UK-01-0774-H1,7.8361263,2.1449513,-1
FR-01-0419-H1,10.137715,33.68951,2
IT-02-0728-H1,-16.422691,-3.4513297,0
DE-03-3129-H1,-1.8153347,8.613229,23
DE-03-3309-H1,-16.251028,-3.384017,0
DE-02-3975-H1,-6.0808897,-6.813174,-1
GR-02-0804-H1,8.91411,8.750221,-1
RU-01-0423-H1,7.4878325,2.3347614,-1
UK-03-0424-H1,-16.20242,-3.3710334,0
DE-02-0736-H1,4.5910225,22.186415,14
DE-03-1962-H1,7.4325047,20.139053,22
IT-02-0478-H1,-16.428562,-3.4544346,0
GR-01-0458-H1,-16.18565,-3.3671749,0
DE-03-4329-H1,7.198591,20.05602,22
GR-01-0909-H1,-16.217882,-3.374877,0
IT-02-0376-H1,-16.188316,-3.367765,0
DE-02-4456-H1,-16.297812,-3.3989024,0
DK-01-1131-H1,0.23547456,5.660726,-1
IT-01-0215-H1,-16.428272,-3.4542763,0
US-01-0847-H1,6.836143,6.947019,-1
US-01-0838-H1,-5.7857876,21.893814,26
DE-02-0162-H1,-11.089577,14.603555,17
DE-02-0474-H1,0.7095555,3.0561397,20
US-01-0982-H1,-4.6747723,9.345799,23
SE-01-1229-H1,-16.237349,-3.3800263,0
GR-02-0516-H1,4.3813424,6.947628,-1
DE-02-1962-H1,-16.422691,-3.4513297,0
IT-02-0749-H1,8.442391,13.143152,18
NL-01-0595-H1,-16.290878,-3.3965526,0
DK-01-0010-H1,-16.237633,-3.3801763,0
US-01-1199-H1,-16.202158,-3.3709724,0
DK-01-1477-H1,-1.458976,18.85723,23
CZ-01-0212-H1,-16.428598,-3.4544168,0
IT-07-0336-H1,0.31710958,-27.558573,-1
IT-02-0542-H2,0.7095555,3.0561397,20
DE-03-4748-H1,-5.5367904,22.173895,26
DE-02-4117-H1,-16.408407,-3.44396,0
NY-01-1083-H1,11.839113,10.426065,-1
DE-01-0177-H1,4.3961053,22.170727,14
CZ-01-0247-H1,-16.42364,-3.4518328,0
US-01-0063-H1,-16.292519,-3.3971114,0
US-01-1234-H1,-16.188108,-3.3678381,0
UK-01-0641-H1,-16.423653,-3.4518414,0
IT-08-0100-H1,-4.003534,-0.5685346,-1
DE-03-2779-H1,-2.8782885,-4.946492,15
DK-01-1076-H1,-7.230106,14.977378,25
DE-03-3236-H1,7.198591,20.05602,22
IT-05-0129-H1,-16.204252,-3.3715353,0
DK-01-1303-H1,-16.187275,-3.3675761,0
IT-05-0084-H1,4.7578974,35.330227,-1
SR-01-0058-H1,-16.200552,-3.3706357,0
DE-02-0007-H1,2.4712236,13.9115095,23
SE-01-1251-H1,-16.21978,-3.3753684,0
DK-01-0630-H1,1.7361603,17.981356,23
IT-05-0277-H1,-16.422691,-3.4513297,0
DK-01-0654-H1,-16.42364,-3.4518328,0
DE-02-2287-H1,2.0281727,12.242246,23
RU-01-0434-H1,-16.203333,-3.3713233,0
FR-01-0337-H1,12.180497,4.4302173,13
DK-01-0048-H1,-9.118503,-12.588117,-1
GR-01-0348-H1,-16.217703,-3.3748493,0
DE-03-4466-H1,-16.18687,-3.367476,0
DE-03-2766-H1,-4.525193,25.850447,27
DE-01-0006-H1,2.0443895,6.2779946,-1
AT-01-0160-H1,-16.240517,-3.380961,0
IT-07-0338-H1,-16.42284,-3.4514081,0
NL-01-0811-H1,-16.200981,-3.3707628,0
US-01-0414-H1,-6.207631,-3.700897,16
DE-03-2990-H1,-16.24184,-3.3812845,0
DE-03-3587-H1,7.198591,20.05602,22
NY-01-0969-H1,5.570647,9.528855,-1
CZ-01-0284-H1,-16.20087,-3.3707168,0
PL-01-0014-H1,8.442389,13.143155,18
DK-01-1142-H1,0.584567,-27.51934,-1
US-01-0832-H1,-16.20061,-3.3706114,0
DE-02-4690-H1,-5.8307242,2.3543973,-1
DE-03-2752-H1,-16.241552,-3.3811977,0
DE-02-3744-H1,2.0443895,6.2779946,-1
CZ-01-1071-H1,7.4878345,2.3347597,-1
IT-02-0528-H2,-16.203735,-3.3713646,0
DE-03-4825-H1,-16.428679,-3.454463,0
SE-01-0381-H1,-16.428545,-3.4544268,0
DE-03-1614-H1,-10.440967,12.234909,17
CZ-01-0469-H1,-4.1877384,18.69621,-1
DE-02-0376-H1,-0.24782844,18.754005,23
DE-02-3779-H1,-16.203949,-3.3714278,0
DE-03-3190-H1,-0.8513451,28.494871,-1
GR-01-0077-H1,-4.5461345,-4.197396,-1
DE-02-1159-H1,-16.217424,-3.37478,0
IT-08-0182-H1,6.45445,35.567455,1
UK-01-0238-H1,10.841256,0.8752243,-1
DE-02-2744-H1,-16.42364,-3.4518328,0
IT-01-0113-H1,6.454322,35.567863,1
GR-02-0461-H1,-1.6463883,18.941517,23
AT-01-0117-H1,-16.188404,-3.3678172,0
US-01-0097-H1,0.81634754,5.3023324,-1
NL-01-0971-H1,4.400299,22.17247,14
DE-03-2468-H1,-9.197518,-3.2492394,16
SE-01-0444-H1,9.91378,32.180656,2
UK-03-0075-H1,-16.187813,-3.367715,0
DK-01-1519-H1,-16.284546,-3.3943844,0
DK-01-0827-H1,-16.187498,-3.3675933,0
GR-03-0224-H1,-16.242474,-3.381512,0
SE-01-1226-H1,-16.24796,-3.3830683,0
GR-01-0707-H1,-16.428692,-3.4544683,0
GR-02-0612-H1,-16.428598,-3.4544168,0
GR-01-0226-H1,-16.42865,-3.4544833,0
DE-02-1939-H1,-16.42351,-3.4517632,0
DK-01-1016-H1,-16.21771,-3.3748326,0
CZ-01-1302-H2,6.837782,6.960207,-1
US-01-0339-H1,-16.35272,-3.419266,0
SE-01-1017-H1,-16.290049,-3.396247,0
DK-01-0607-H1,3.082543,23.980139,14
GR-02-0330-H1,1.7996955,17.88362,23
CZ-01-1778-H1,-16.20336,-3.3712752,0
DE-02-2239-H1,-16.21982,-3.3753788,0
DE-02-1979-H1,6.046542,9.606263,-1
DE-02-0206-H1,-3.0214324,-6.1780643,15
GR-02-0434-H1,-16.20365,-3.371339,0
IT-07-0094-H1,-16.415773,-3.4477112,0
RU-01-0551-H1,-5.9516106,23.31103,26
DK-01-0389-H1,4.7578974,35.330227,-1
DE-02-1904-H1,-4.491055,9.930719,23
IT-07-0180-H1,0.7095555,3.0561397,20
DE-03-4661-H1,8.914902,8.765235,-1
DE-03-4641-H1,9.728791,18.192003,21
SE-01-0110-H1,-16.202675,-3.371094,0
FR-01-0269-H1,-16.20117,-3.3707323,0
CZ-01-0420-H1,11.004805,5.2336698,13
FR-01-0495-H1,-5.4055233,20.533255,26
UK-01-0450-H1,-5.647205,8.074803,23
DE-02-3776-H1,-5.8307242,2.3543973,-1
DE-02-2989-H1,11.87578,29.5327,2
DE-01-0164-H1,-16.200302,-3.3705518,0
NL-01-0365-H1,-16.21746,-3.3747592,0
IT-01-0425-H1,5.857995,37.67707,1
IT-02-0596-H1,-16.217512,-3.374759,0
US-01-1000-H1,-16.203735,-3.3713646,0
FR-01-0209-H1,-16.201414,-3.3707817,0
NY-01-0939-H1,-1.9164333,4.3366957,19
ES-01-0483-H1,-12.196992,15.980132,17
CZ-01-0935-H1,-16.217516,-3.3747387,0
NY-01-0870-H1,-16.239637,-3.3807192,0
AT-01-0235-H1,-16.42894,-3.4545894,0
DE-02-4775-H1,-1.4690759,10.595445,23
FR-01-1042-H1,-4.160215,16.937952,-1
