IDs,tsne dim 1,tsne dim 2,Cluster
PL-01-0127-H1,-27.052008,-1.8463128,4
CZ-01-0621-H1,-34.700478,-10.069326,7
DE-02-0917-H1,-29.202581,-1.7696636,4
SE-01-0123-H1,-13.357234,-6.6550856,-1
CZ-01-1862-H1,-6.512212,-6.1714315,28
DE-03-1552-H1,-16.27745,-19.665026,-1
IT-02-0176-H1,-1.4785582,9.515997,6
DE-02-5173-H1,-5.40993,-11.5068655,-1
DE-03-0379-H1,-4.5055723,-15.80907,-1
SR-01-0089-H1,-6.512212,-6.1714315,28
DE-03-0917-H1,-1.4911757,9.533712,6
SE-01-0109-H1,-30.832863,-0.5624339,4
IT-02-0072-H1,-6.512218,-6.1714234,28
UK-03-0404-H1,-10.851905,3.1031148,17
DE-02-4003-H1,-1.6333439,9.831272,6
DE-03-2439-H1,-9.822118,-22.32655,27
DE-03-2500-H1,-16.28436,-9.619589,-1
DK-01-0643-H1,-1.6298002,9.828975,6
IT-02-0230-H1,-1.6354463,9.832066,6
IT-02-0334-H1,-38.20115,-10.417291,-1
DE-03-3325-H1,-14.643847,-15.7381115,11
IT-01-0293-H1,-1.4897624,9.531679,6
CZ-01-0686-H1,-1.495585,9.539876,6
IT-07-0318-H1,-1.6358805,9.831041,6
CZ-01-0680-H1,3.620989,4.9610605,14
US-01-0436-H1,-31.853973,-5.377623,3
DE-02-3952-H1,-8.932623,-14.310547,26
NL-01-0044-H1,-16.123419,-20.867422,-1
UK-01-0430-H1,-14.643874,-15.738115,11
GR-03-0098-H1,-17.896927,-21.441746,23
IT-02-0612-H1,-1.634135,9.83179,6
IT-05-0391-H1,-1.6331451,9.8299265,6
DE-03-1974-H1,8.071532,-8.325546,9
UK-01-0774-H1,-8.755147,8.110054,-1
FR-01-0419-H1,-31.853973,-5.377623,3
IT-02-0728-H1,-1.6246353,9.808346,6
DE-03-3129-H1,-9.782333,-3.979143,-1
DE-03-3309-H1,-1.4926822,9.536063,6
DE-02-3975-H1,9.667804,5.0920715,-1
GR-02-0804-H1,-2.189589,-5.0698166,-1
RU-01-0423-H1,-9.053272,8.131698,-1
UK-03-0424-H1,-1.628717,9.8117,6
DE-02-0736-H1,-19.99479,-13.659342,10
DE-03-1962-H1,-18.114864,-25.038876,24
IT-02-0478-H1,-1.6352301,9.831334,6
GR-01-0458-H1,-1.6338835,9.831858,6
DE-03-4329-H1,-17.72612,-24.996162,24
GR-01-0909-H1,-1.636428,9.834614,6
IT-02-0376-H1,-1.492504,9.535171,6
DE-02-4456-H1,-1.5007397,9.547346,6
DK-01-1131-H1,5.1480417,-11.17659,-1
IT-01-0215-H1,-1.6354743,9.832087,6
US-01-0847-H1,0.09249698,-7.7421107,22
US-01-0838-H1,-7.3964615,-19.467869,26
DE-02-0162-H1,-7.336243,-9.641218,-1
DE-02-0474-H1,8.497033,-7.8229656,9
US-01-0982-H1,-8.052573,-6.257686,28
SE-01-1229-H1,-1.63826,9.836488,6
GR-02-0516-H1,-8.282494,-2.6715558,-1
DE-02-1962-H1,-1.6238376,9.8066845,6
IT-02-0749-H1,-14.643864,-15.73809,11
NL-01-0595-H1,-1.538473,9.609252,6
DK-01-0010-H1,-1.6329,9.824236,6
US-01-1199-H1,-1.6363561,9.834576,6
DK-01-1477-H1,-2.9031658,-22.279503,13
CZ-01-0212-H1,-1.4779775,9.5152025,6
IT-07-0336-H1,26.78855,-7.368664,1
IT-02-0542-H2,8.497033,-7.8229656,9
DE-03-4748-H1,-7.9944572,-19.579336,26
DE-02-4117-H1,-1.5217429,9.5830765,6
NY-01-1083-H1,3.6518898,-9.352471,-1
DE-01-0177-H1,-19.980173,-13.9226265,10
CZ-01-0247-H1,-1.6331571,9.830958,6
US-01-0063-H1,-1.6361951,9.830948,6
US-01-1234-H1,-1.4683068,9.501624,6
UK-01-0641-H1,-1.6354469,9.831887,6
IT-08-0100-H1,5.3971567,0.028205551,-1
DE-03-2779-H1,9.928797,-1.7306114,-1
DK-01-1076-H1,-2.7730858,-13.642466,25
DE-03-3236-H1,-17.72612,-24.99612,24
IT-05-0129-H1,-1.5243853,9.58668,6
DK-01-1303-H1,-1.6265767,9.804978,6
IT-05-0084-H1,-38.20115,-10.417291,-1
SR-01-0058-H1,-1.481702,9.519479,6
DE-02-0007-H1,-16.260134,-6.366116,-1
SE-01-1251-H1,-1.6367065,9.834666,6
DK-01-0630-H1,0.20420764,-21.605953,13
IT-05-0277-H1,-1.6298583,9.829095,6
DK-01-0654-H1,-1.6353911,9.831899,6
DE-02-2287-H1,-14.676776,-8.053267,29
RU-01-0434-H1,-1.5023649,9.549677,6
FR-01-0337-H1,-9.485345,3.2268436,17
DK-01-0048-H1,7.019523,8.738195,-1
GR-01-0348-H1,-1.636134,9.830906,6
DE-03-4466-H1,-1.6349204,9.831801,6
DE-03-2766-H1,-10.955339,-21.743214,27
DE-01-0006-H1,-0.7073081,-11.305913,-1
AT-01-0160-H1,-1.4832208,9.520581,6
IT-07-0338-H1,-1.6234626,9.80397,6
NL-01-0811-H1,-1.4647235,9.496429,6
US-01-0414-H1,7.2167535,2.0328455,14
DE-03-2990-H1,-1.6381242,9.839311,6
DE-03-3587-H1,-17.726133,-24.99617,24
NY-01-0969-H1,2.715797,-7.3043633,-1
CZ-01-0284-H1,-1.633114,9.829923,6
PL-01-0014-H1,-14.643847,-15.7381115,11
DK-01-1142-H1,26.325882,-7.4940753,1
US-01-0832-H1,-1.6285164,9.811468,6
DE-02-4690-H1,-3.2196112,3.9142568,-1
DE-03-2752-H1,-1.6382537,9.836506,6
DE-02-3744-H1,-0.70731735,-11.305911,-1
CZ-01-1071-H1,-9.053272,8.131698,-1
IT-02-0528-H2,-1.4827919,9.520004,6
DE-03-4825-H1,-1.4908983,9.535967,6
SE-01-0381-H1,-1.6354091,9.831924,6
DE-03-1614-H1,2.3179862,-14.831412,19
CZ-01-0469-H1,-9.948328,-13.678185,-1
DE-02-0376-H1,-1.9281387,-22.916025,13
DE-02-3779-H1,-1.633129,9.829906,6
DE-03-3190-H1,-13.703021,-23.966246,-1
GR-01-0077-H1,8.688885,0.040394943,-1
DE-02-1159-H1,-1.4832723,9.520761,6
IT-08-0182-H1,-34.700478,-10.069326,7
UK-01-0238-H1,4.287961,-4.7653704,20
DE-02-2744-H1,-1.6354071,9.832028,6
IT-01-0113-H1,-34.700478,-10.069326,7
GR-02-0461-H1,-3.1446538,-22.366226,13
AT-01-0117-H1,-1.5818841,9.703367,6
US-01-0097-H1,0.009515205,-10.663666,-1
NL-01-0971-H1,-19.981937,-13.920278,10
DE-03-2468-H1,5.48054,5.292244,14
SE-01-0444-H1,-31.084888,-3.6761537,3
UK-03-0075-H1,-1.6274563,9.807961,6
DK-01-1519-H1,-1.6383407,9.836506,6
DK-01-0827-H1,-1.6363381,9.834652,6
GR-03-0224-H1,-1.6330085,9.830074,6
SE-01-1226-H1,-1.6358474,9.8309,6
GR-01-0707-H1,-1.4784855,9.516397,6
GR-02-0612-H1,-1.4792217,9.516387,6
GR-01-0226-H1,-1.6351368,9.831028,6
DE-02-1939-H1,-1.6355253,9.832111,6
DK-01-1016-H1,-1.5405134,9.612994,6
CZ-01-1302-H2,0.0848502,-7.748216,22
US-01-0339-H1,-1.6332362,9.831062,6
SE-01-1017-H1,-1.4927981,9.536405,6
DK-01-0607-H1,-18.816406,-16.258522,10
GR-02-0330-H1,0.44419774,-21.693588,13
CZ-01-1778-H1,-1.5967913,9.740441,6
DE-02-2239-H1,-1.638208,9.839399,6
DE-02-1979-H1,1.9210701,-6.8645844,-1
DE-02-0206-H1,11.228089,-1.1023245,15
GR-02-0434-H1,-1.4908599,9.531706,6
IT-07-0094-H1,-1.6341815,9.832235,6
RU-01-0551-H1,-4.9040265,-22.34784,13
DK-01-0389-H1,-38.20115,-10.417291,-1
DE-02-1904-H1,-8.367753,-7.013336,28
IT-07-0180-H1,8.497033,-7.8229656,9
DE-03-4661-H1,-2.1992238,-5.0787377,-1
DE-03-4641-H1,-19.17821,-21.906878,23
SE-01-0110-H1,-1.480796,9.518602,6
FR-01-0269-H1,-1.6359538,9.83113,6
CZ-01-0420-H1,-9.802184,1.6552104,17
FR-01-0495-H1,-8.332919,-17.692902,-1
UK-01-0450-H1,-6.5149527,-6.1227727,28
DE-02-3776-H1,-3.2196112,3.9142568,-1
DE-02-2989-H1,-29.573618,0.26522663,4
DE-01-0164-H1,-1.5864367,9.71243,6
NL-01-0365-H1,-1.5232006,9.584272,6
IT-01-0425-H1,-35.553925,-13.392898,8
IT-02-0596-H1,-1.6358602,9.830807,6
US-01-1000-H1,-1.6342353,9.831674,6
FR-01-0209-H1,-1.6380819,9.839368,6
NY-01-0939-H1,-4.883137,1.0912238,16
ES-01-0483-H1,-12.831456,-1.7331402,18
CZ-01-0935-H1,-1.490923,9.533529,6
NY-01-0870-H1,-1.6328471,9.831157,6
